paper_id,title,authors,year,affiliation,abstract,citations,cluster,keywords,is_bell_labs,num_authors
BL0004,Transmission of Information,Ralph Hartley,1928,Bell Telephone Laboratories,"Early foundational work defining information as a logarithmic measure of the number of possible symbol sequences, preceding Shannon's formal theory.",3981,information_theory,information logarithmic measure transmission bandwidth,True,1
BL0005,Certain Topics in Telegraph Transmission Theory,Harry Nyquist,1928,Bell Telephone Laboratories,Derives the Nyquist rate: the maximum number of signal changes per second that a channel of given bandwidth can carry without inter-symbol interference.,5140,information_theory,Nyquist rate telegraph bandwidth signal transmission,True,1
BL0065,Thermal Noise in Resistors,Harry Nyquist,1928,Bell Telephone Laboratories,Theoretical derivation of Johnson-Nyquist thermal noise power spectrum in resistors from thermodynamic fluctuation-dissipation theory.,4474,network_theory,thermal noise Johnson-Nyquist resistor fluctuation dissipation temperature,True,1
BL0053,Synthesis of Electrical Networks,Harry Nyquist,1932,Bell Telephone Laboratories,"Development of Nyquist stability criterion for feedback amplifiers and network synthesis, foundational for control systems and filter design.",2029,network_theory,Nyquist stability feedback amplifier network synthesis filter control,True,1
BL0038,Electrical Disturbances Apparently of Extraterrestrial Origin,Karl Jansky,1933,Bell Telephone Laboratories,"Discovery of radio emission from the center of the Milky Way galaxy using a rotating antenna array, founding the field of radio astronomy.",3428,radio_astronomy,radio astronomy galactic emission Milky Way antenna extraterrestrial radio waves,True,1
BL0054,Regenerative Current Action in Communications,Harry Nyquist; Herbert Johnson,1934,Bell Telephone Laboratories,Analysis of regenerative circuits and their application to repeater design for long-distance telephone transmission over loaded cable.,1648,network_theory,regenerative circuit repeater telephone cable transmission distortion,True,2
BL0042,Radio Emission from Radio-Frequency Radiation,Karl Jansky,1935,Bell Telephone Laboratories,"Follow-up characterization of galactic radio sources, mapping intensity distribution and polarization, establishing methodology for radio survey.",1815,radio_astronomy,radio emission galactic source survey intensity polarization radio frequency,True,1
BL0070,Effective Apertures of Receiving Antennas,Harald Friis,1942,Bell Telephone Laboratories,"Analysis of antenna effective aperture and its relationship to gain, establishing the fundamental equation for received signal power calculation.",2130,radio_astronomy,antenna aperture gain effective area received power radio link,True,1
BL0069,Noise Figure of Radio Receivers,Harald Friis,1944,Bell Telephone Laboratories,Definition and measurement methodology for receiver noise figure as a figure of merit for radio receiver sensitivity in communication and radar systems.,2647,radio_astronomy,noise figure receiver sensitivity radio communication radar measurement,True,1
BL0041,Propagation of Short Radio Waves,Harald Friis,1946,Bell Telephone Laboratories,Derives the Friis transmission equation relating received to transmitted power for free-space radio links as a function of antenna gains and wavelength.,4251,radio_astronomy,radio wave propagation Friis equation free space antenna gain wavelength transmission,True,1
BL0046,Traveling Wave Tube,Rudolf Kompfner,1947,Bell Telephone Laboratories,"Invention and theory of the traveling wave tube amplifier enabling broadband microwave signal amplification, essential for satellite communication transponders.",3182,satellite_communications,traveling wave tube TWT microwave amplifier broadband satellite transponder,True,1
